source_id,source_name,candidate_id,candidate_name,score,source
edgar_c_332d28c62b31,"Uber Technologies, Inc",c:152796,ubermetrics technologies,0.877,edgar
edgar_c_f4944d9881ef,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",c:13779,sumitomo,0.8516,edgar
edgar_c_c54d2193bd1c,Booking Holdings Inc.,c:161402,booking tonight,0.9051,edgar
edgar_c_4142d3a888aa,Spotify Technology S.A.,c:80286,sprout technology,0.8924,edgar
edgar_c_93c14748e8f1,AGNICO EAGLE MINES LTD,c:76162,agnion energy,0.845,edgar
edgar_c_51aae27061f7,FREEPORT-MCMORAN INC,c:191524,freeport-mcmoran copper gold,0.9143,edgar
edgar_c_7b842ef4c8c7,Energy Transfer LP,r:34506,energy rates plans,0.9118,edgar
edgar_c_ba1b5c74f9b3,Nu Holdings Ltd.,c:45054,nueterra holdings,0.9059,edgar
edgar_c_eaebf31a9b29,Targa Resources Corp.,c:261407,targesome,0.8844,edgar
edgar_c_510529e21cb9,Snowflake Inc.,c:246263,snowmakers,0.8956,edgar
edgar_c_3e52375977b6,Credo Technology Group Holding Ltd,c:274255,credly,0.84,edgar
edgar_c_7bf06bf84f9a,"AXON ENTERPRISE, INC.",c:38468,axonn,0.8667,edgar
edgar_c_4a275f5dfa75,"Revolution Medicines, Inc.",c:76799,revolution games,0.915,edgar
edgar_c_9679f610e433,VICI PROPERTIES INC.,p:126668,vicki raport,0.86,edgar
edgar_c_6f142ea8d28a,PEMBINA PIPELINE CORP,f:842,pembridge partners,0.8415,edgar
edgar_c_8e769fdd3682,"AST SpaceMobile, Inc.",c:208530,ascenna mobile,0.8641,edgar
edgar_c_ad56cd251246,Brookfield Renewable Partners L.P.,p:199730,brooke ren,0.8625,edgar
edgar_c_98f1ec76ebf7,Madison Air Solutions Corp,c:262542,madison acquisitions,0.9025,edgar
edgar_c_cf9ed15b2416,"Coeur Mining, Inc.",r:13211,computer training,0.8771,edgar
edgar_c_a15706040d48,Talen Energy Corp,c:6081,talent edge,0.8914,edgar
edgar_c_e2ba307fb539,ALAMOS GOLD INC,p:119024,alam ali,0.8591,edgar
edgar_c_b91de619b7d1,"ZIMMER BIOMET HOLDINGS, INC.",c:202315,zimmer holdings,0.9097,edgar
edgar_c_ce7210af0f47,SOMNIGROUP INTERNATIONAL INC.,c:162149,sonitek international,0.8582,edgar
edgar_c_9da83d5902ad,Legence Corp.,c:12192,legent,0.9095,edgar
edgar_c_22339b047e12,ONTO INNOVATION INC.,c:173951,ontodia,0.8514,edgar
edgar_c_a6be37dfcfa7,Ascendis Pharma A/S,r:28400,ascentis hr,0.8929,edgar
edgar_c_e93e8c875ac6,"QXO, Inc.",c:153272,qx3,0.8222,edgar
edgar_c_84c6e5c9cf62,PERSHING SQUARE INC.,f:6396,pershing square capital management,0.8882,edgar
edgar_c_3b20ab02a33b,Ally Financial Inc.,f:11994,allfinanz,0.8741,edgar
edgar_c_6043348b406e,Summit Therapeutics Inc.,c:213873,summit series,0.8943,edgar
edgar_c_001489cee4c5,"BITMINE IMMERSION TECHNOLOGIES, INC.",c:47543,bitminion,0.86,edgar
edgar_c_8aa70f34035d,CNH Industrial N.V.,f:11172,cna insurance,0.802,edgar
edgar_c_f23978924e87,PINNACLE WEST CAPITAL CORP,r:22725,pinnacle cart hosted,0.8811,edgar
edgar_c_fe4d4a2020b2,HECLA MINING CO/DE/,c:49488,heimathonigde,0.8229,edgar
edgar_c_b7261d55501f,"DigitalOcean Holdings, Inc.",c:150189,digitalocean,0.9143,edgar
edgar_c_0760f5da4f24,Equinox Gold Corp.,c:215239,equinox,0.9167,edgar
edgar_c_bb021c82155e,Gildan Activewear Inc.,p:183194,gilad haver,0.8594,edgar
edgar_c_61251b9cec1a,"ARROWHEAD PHARMACEUTICALS, INC.",c:24943,arena pharmaceuticals,0.8873,edgar
edgar_c_967c4fc4b2d2,"ZILLOW GROUP, INC.",c:959,zillow,0.9,edgar
edgar_c_8cd5d79b3ea6,"CAVA GROUP, INC.",c:255912,casale group,0.9067,edgar
edgar_c_747a123a2667,"BrightSpring Health Services, Inc.",c:165038,bright seo services,0.8736,edgar
edgar_c_32221c0e0813,J M SMUCKER Co,p:229342,j m maller,0.8673,edgar
edgar_c_8e3cdc70395c,CHART INDUSTRIES INC,c:81483,chartis insurance,0.8754,edgar
edgar_c_3c32b6e0cd99,FIRST MAJESTIC SILVER CORP,c:174817,first telecom services,0.8906,edgar
edgar_c_66a881e8ba8a,"Praxis Precision Medicines, Inc.",c:221917,praxeon,0.8538,edgar
edgar_c_2314e39899aa,"Joby Aviation, Inc.",c:245312,joby,0.8615,edgar
edgar_c_0906148f121b,"Celsius Holdings, Inc.",c:185333,celsion,0.8875,edgar
edgar_c_70f4be3b67d6,Freedom Holding Corp.,p:89465,freedom scion,0.8977,edgar
edgar_c_170f75421439,"Chime Financial, Inc.",r:27424,chimein,0.8933,edgar
edgar_c_c71da80f30b7,"Krystal Biotech, Inc.",p:232685,krystal coutrayer,0.8678,edgar
edgar_c_0f8e38f32e20,"Nuvalent, Inc.",c:25733,nuventix,0.8833,edgar
edgar_c_526c290f5391,JANUS HENDERSON GROUP PLC,p:43984,janus anderson,0.8864,edgar
edgar_c_629e18cf9a19,"RYAN SPECIALTY HOLDINGS, INC.",p:35490,ryan carlton,0.879,edgar
edgar_c_35777aca80ed,D-Wave Quantum Inc.,c:207924,d-wa,0.8571,edgar
edgar_c_2d435a6ac4a0,"ImmunityBio, Inc.",c:40762,immunet,0.8805,edgar
edgar_c_8ab3b066ca00,"AAON, INC.",c:215768,aaxion,0.9111,edgar
edgar_c_dcb9529bb870,"Riot Platforms, Inc.",c:8159,riot games,0.8743,edgar
edgar_c_59ffb85d508b,Terreno Realty Corp,p:17427,terre layton,0.9131,edgar
edgar_c_02ed23e529c7,Aura Minerals Inc.,c:155009,aurasma,0.8637,edgar
edgar_c_49f652647706,OceanaGold Corp,c:230364,ocean,0.9,edgar
edgar_c_3cb094b01bd3,"Core Scientific, Inc./tx",c:53574,coresite,0.8639,edgar
edgar_c_8639be6012b0,"Mirum Pharmaceuticals, Inc.",c:257137,micurx pharmaceuticals,0.9031,edgar
edgar_c_d735323f4552,"Cogent Biosciences, Inc.",c:168889,cogent,0.8667,edgar
edgar_c_b7996bef1b2e,"GLACIER BANCORP, INC.",c:31120,glacier bay,0.9152,edgar
edgar_c_d04d9fce35c1,PJT Partners Inc.,c:184824,pjn sports,0.8089,edgar
edgar_c_f22fee17e9d9,"Terns Pharmaceuticals, Inc.",c:284747,tempo pharmaceuticals,0.8942,edgar
edgar_c_b934bfd7b8a3,National Storage Affiliates Trust,c:233093,national personal training institute,0.8817,edgar
edgar_c_c40ce2f8803c,"Kodiak Gas Services, Inc.",c:210771,kodiak interactive,0.8744,edgar
edgar_c_28fd9c9ce48e,"Spyre Therapeutics, Inc.",c:273925,spark therapeutics,0.9074,edgar
edgar_c_bef0121ebf13,"Rigetti Computing, Inc.",c:208677,rigel consulting,0.8328,edgar
edgar_c_fb985561af03,Blackstone Secured Lending Fund,c:263671,blackstone asia,0.8572,edgar
edgar_c_685b3cc584b9,B2GOLD CORP,c:58452,b2gnow,0.8444,edgar
edgar_c_7b26900c3b33,"UiPath, Inc.",c:15600,uitv,0.8,edgar
edgar_c_c550af46ef97,"Immunovant, Inc.",c:281375,immunovaccine,0.9185,edgar
edgar_c_2a1faed6e492,Klarna Group plc,c:44917,klarna,0.9,edgar
edgar_c_3d0d544c3dad,"Oscar Health, Inc.",p:212934,oscar hackett,0.9005,edgar
edgar_c_b456b6d21635,Scholar Rock Holding Corp,c:235407,scholargold,0.8818,edgar
